ID      Score
    7079   36.14
    1409   71.34
    8266    0.06
    1277   77.28
    3347   44.57
    8094    98.5
    1898   24.91
    3587   33.23
    7991   55.78
    1221   75.26
    3921   15.76
    2602    94.8
    3648   60.74
    9885    75.5
     113    3.15
    8882   84.44
    7589   11.41
    1103    89.1
    4595   81.61
    6566   96.34
    8599   25.44
    6671   20.08
    9126   88.02
    4966   97.73
    1796   12.41
    1329   72.91
    2751   33.06
    7531   30.85
    2263   58.45
    3338   58.95
    3030    94.3
    7696   88.29
    3074    3.62
    2010   35.87
    2667   83.91
    4320    75.9
    2798   97.36
    9757   48.43
    2509   99.43
    1038   79.95
    5880   45.11
     992   70.51
    1558   10.37
    3475   22.67
     818   81.71
    8771    6.44
    7123   66.25
     309   64.66
    8157   41.07
    7138   52.34
     642   96.35
    7168   17.48
    8121   31.67
    4840   36.72
     103   84.39
    4414   15.19
    1433   98.83
    7127   76.49
    4189   45.63
    6817   73.49
    3519   80.33
    2243   65.94
    5130   70.12
    2208   81.81
    3149   10.73
    1734   31.43
    6246   30.69
    8973   67.32
    8994   43.33
    2552   76.12
     666   14.93
    4582   92.84
    1344   33.25
     767   80.51
    4426    2.15
    7845   45.09
    5710   53.93
    7948   85.85
    3172    23.7
    7783   17.34
    3589   81.89
    3056   12.56
    4173   81.08
    6661   35.14
    5780   56.68
     858   17.46
    5998   59.39
    2941   80.89
    6413   31.29
    4362   23.78
     144    0.44
    2388   20.46
    2235   62.59
    2782   19.94
    2734    1.57
    7591   61.02
    3602   63.13
     971   48.49
    2959   38.77
     513   64.35
    6286   54.22
     813   67.76
    1538    29.2
    9670      33
    9701    4.02
    4294   73.86
    6776   87.08
    1763   58.85
    3144   96.66
    1120    75.6
     626   84.84
    6935   16.05
    1114    97.6
    6195   65.13
     920   87.49
    6710   18.32
    9869   50.26
    2749   32.28
    6657   73.22
    1798   37.25
    4179   63.79
    7227   19.19
    9500    77.7
    2958   65.93
    5434   19.66
     168   54.61
    3565   96.64
    1012    85.5
    3683   24.69
    3767   60.83
    4359    25.7
    1668   56.68
    6159   92.11
    3230   56.22
    4157   79.22
    1630   12.14
    5900    4.77
    6751   12.81
    6306   93.24
    1640   56.55
    6543   81.13
    4089   40.95
     202   64.37
    2910   11.91
    9837   73.68
    7648    81.2
    2836   29.89
    8242   26.84
    5037   39.53
    5055   97.05
    2794   16.55
     839   28.84
    2979   50.15
    8515   51.67
    3976   70.91
    2862   53.84
    1839   87.47
    4370   50.99
    2399   50.62
    4143   91.23
    1251   92.82
    3173   57.87
    6222    97.1
     366   95.02
    6707   56.03
    2496   40.94
    1268    71.7
    1320   41.29
     478   48.53
    2111      56
    4477   22.51
    6479   73.86
    8984   69.14
    5981   53.73
    5779   13.17
     960   21.61
    8017   91.25
    5711   55.08
    3559      73
     117   38.76
    9554   75.91
    2164   36.79
    2479   95.46
    4875   52.45
    1151   12.74
    1888   69.32
    8786   72.91
    9593   21.56
    5861      59
    4058   19.73
    6423    8.38
    6419   87.39
     918   61.09
    3833    1.22
    3204    6.71
    5514   83.19
    9199   12.08
    6870   64.36
    9158   86.66
    7255   97.01
    7497   24.72
    4223   74.87
    7447   24.02
    8120   83.31
    8229   26.42
    4655   27.87
    7174    2.12
    8256   28.83
    7288   41.16
    5476   66.16
    3612    40.4
    4924   44.38
    1992   93.98
    5205   10.39
    3363   53.72
    8844    3.45
    1803   34.86
    6342   29.38
     247   48.05
    6766    73.4
    9167   58.91
    7245   33.06
    1732    3.36
    3155   30.26
    8760   13.03
    5903   93.81
    8661   22.83
    5599   43.11
    5478      90
    3804    98.3
    3180    59.4
    7220   75.51
     550   27.48
    4289   64.94
    6491   22.55
    9275   36.92
    7170   55.32
    2643   79.93
     301   28.66
    1483    60.6
    2384   26.86
    1484   89.73
    8720   88.92
    3867   77.92
    6706   95.14
    5854   96.91
    1376   91.89
    8819   88.19
    2091   85.01
    9820   45.38
     436   20.09
    9921   48.02
    2469   60.17
     778   53.48
    4704    16.3
    9544    7.61
    5535   17.49
    5039   46.53
    5633   43.56
    5317   66.04
    7225   32.64
    5202   33.19
    2339   81.54
    8209    2.67
    3656    94.3
    9846    3.48
    8497   50.51
    5279    6.35
     139   20.74
    6066   87.45
    6085   99.02
    1846   56.37
    1459    33.1
    8183    89.4
    3055   74.68
    9501    5.03
    2003   79.59
    3170   77.45
    1938    88.5
    4559   36.54
    4446   66.54
     487   52.22
    2061   91.69
    1191   98.71
    9308   72.06
    9637   21.33
    1953   59.64
    7610   77.53
    2239   30.32
    5644   69.79
    7313   67.28
    9722    1.92
     548   23.21
    4969    61.1
    1075    25.6
    9797   62.93
    2690   39.57
    4563    93.4
    8056   26.39
    3504   17.12
    8567   12.93
    7538   22.46
    6925   70.78
    9967    38.3
    6126   72.85
    6967   78.82
    3685    5.35
    7841      55
    5950    2.91
     660   67.61
    5986    8.39
    8816   32.44
    1378   80.83
     654   57.02
     788      41
    2201   21.74
    4358   29.04
    6428   18.25
    1978   44.47
    5060   77.35
    5339   84.52
    3972   41.14
    7779    2.11
    7864   38.96
    3094   61.17
    9278   19.12
    1287   20.15
    4581   75.36
    3464    83.3
    9061   92.49
    1799   23.82
    1395   68.55
    2237   34.68
    4721   16.12
    3886    19.6
    6140   72.59
    2144    27.5
    5331   47.72
     888    49.2
    2279   91.96
     902   35.33
